wl,n1,n2
0.4000 ,4.826737587,1.554293381
0.4010 ,4.8416429,1.516104805
0.4020 ,4.852292801,1.476129465
0.4030 ,4.859025149,1.434730117
0.4040 ,4.862177807,1.392269515
0.4050 ,4.862088637,1.349110417
0.4060 ,4.859095499,1.305615578
0.4070 ,4.853536255,1.262147753
0.4080 ,4.845748767,1.219069699
0.4090 ,4.836070897,1.176744171
0.4100 ,4.824840505,1.135533924
0.4110 ,4.812395454,1.095801716
0.4120 ,4.799073604,1.057910301
0.4130 ,4.785212818,1.022222436
0.4140 ,4.77113293,0.989070379
0.4150 ,4.756967666,0.958471556
0.4160 ,4.742740962,0.930257656
0.4170 ,4.728475331,0.90425797
0.4180 ,4.71419329,0.880301787
0.4190 ,4.699917352,0.858218395
0.4200 ,4.685670034,0.837837085
0.4210 ,4.671473851,0.818987146
0.4220 ,4.657351316,0.801497867
0.4230 ,4.643324946,0.785198537
0.4240 ,4.629417255,0.769918446
0.4250 ,4.615650759,0.755486883
0.4260 ,4.602047973,0.741733139
0.4270 ,4.588631411,0.728486501
0.4280 ,4.575423062,0.715579887
0.4290 ,4.562432796,0.702929646
0.4300 ,4.549658368,0.690535559
0.4310 ,4.537097003,0.678401036
0.4320 ,4.524745928,0.666529483
0.4330 ,4.512602371,0.654924312
0.4340 ,4.500663556,0.643588929
0.4350 ,4.488926712,0.632526743
0.4360 ,4.477389064,0.621741165
0.4370 ,4.466047839,0.611235601
0.4380 ,4.454900264,0.601013461
0.4390 ,4.443943565,0.591078154
0.4400 ,4.433174969,0.581433087
0.4410 ,4.422591703,0.572081671
0.4420 ,4.412190992,0.563027313
0.4430 ,4.401970062,0.554273403
0.4440 ,4.391925716,0.54581902
0.4450 ,4.38205382,0.537653636
0.4460 ,4.372350112,0.529765421
0.4470 ,4.36281033,0.522142545
0.4480 ,4.353430212,0.51477318
0.4490 ,4.344205496,0.507645494
0.4500 ,4.335131921,0.50074766
0.4510 ,4.326205224,0.494067846
0.4520 ,4.317421144,0.487594224
0.4530 ,4.308775419,0.481314963
0.4540 ,4.300263787,0.475218234
0.4550 ,4.291881986,0.469292208
0.4560 ,4.283625755,0.463525055
0.4570 ,4.275490831,0.457904946
0.4580 ,4.267472954,0.452420049
0.4590 ,4.25956786,0.447058537
0.4600 ,4.251771531,0.441809347
0.4610 ,4.24408175,0.436667092
0.4620 ,4.236497104,0.431628926
0.4630 ,4.229016185,0.426692017
0.4640 ,4.221637584,0.421853533
0.4650 ,4.214359894,0.417110641
0.4660 ,4.207181707,0.412460508
0.4670 ,4.200101614,0.407900301
0.4680 ,4.193118207,0.403427189
0.4690 ,4.186230078,0.399038337
0.4700 ,4.17943582,0.394730915
0.4710 ,4.172734022,0.390502088
0.4720 ,4.166123279,0.386349025
0.4730 ,4.159602181,0.382268892
0.4740 ,4.15316932,0.378258858
0.4750 ,4.146823289,0.374316089
0.4760 ,4.140562678,0.370437753
0.4770 ,4.134386081,0.366621018
0.4780 ,4.128292165,0.362863562
0.4790 ,4.122279828,0.359164584
0.4800 ,4.11634801,0.355523561
0.4810 ,4.11049565,0.351939973
0.4820 ,4.104721687,0.348413298
0.4830 ,4.099025061,0.344943015
0.4840 ,4.093404711,0.341528603
0.4850 ,4.087859578,0.338169539
0.4860 ,4.0823886,0.334865303
0.4870 ,4.076990717,0.331615373
0.4880 ,4.071664868,0.328419228
0.4890 ,4.066409993,0.325276346
0.4900 ,4.061225031,0.322186207
0.4910 ,4.056108923,0.319148288
0.4920 ,4.051060606,0.316162068
0.4930 ,4.046079022,0.313227026
0.4940 ,4.041163109,0.310342641
0.4950 ,4.036311806,0.307508391
0.4960 ,4.031524054,0.304723754
0.4970 ,4.026798753,0.301988281
0.4980 ,4.02213469,0.299301733
0.4990 ,4.01753063,0.29666391
0.5000 ,4.012985338,0.294074612
0.5010 ,4.008497579,0.29153364
0.5020 ,4.004066118,0.289040795
0.5030 ,3.999689721,0.286595875
0.5040 ,3.995367154,0.284198682
0.5050 ,3.99109718,0.281849016
0.5060 ,3.986878566,0.279546677
0.5070 ,3.982710077,0.277291466
0.5080 ,3.978590477,0.275083182
0.5090 ,3.974518533,0.272921627
0.5100 ,3.970493009,0.2708066
0.5110 ,3.966512671,0.268737902
0.5120 ,3.962576283,0.266715333
0.5130 ,3.958682612,0.264738694
0.5140 ,3.954830422,0.262807784
0.5150 ,3.951018479,0.260922404
0.5160 ,3.947245547,0.259082354
0.5170 ,3.943510414,0.257287426
0.5180 ,3.939812726,0.25553703
0.5190 ,3.936153239,0.253830091
0.5200 ,3.932532789,0.252165495
0.5210 ,3.928952207,0.250542133
0.5220 ,3.925412326,0.248958894
0.5230 ,3.921913981,0.247414665
0.5240 ,3.918458003,0.245908338
0.5250 ,3.915045227,0.244438799
0.5260 ,3.911676485,0.243004939
0.5270 ,3.908352609,0.241605647
0.5280 ,3.905074435,0.24023981
0.5290 ,3.901842793,0.23890632
0.5300 ,3.898658519,0.237604063
0.5310 ,3.895522443,0.23633193
0.5320 ,3.892435401,0.23508881
0.5330 ,3.889398224,0.23387359
0.5340 ,3.886411746,0.232685162
0.5350 ,3.883476801,0.231522412
0.5360 ,3.88059422,0.230384231
0.5370 ,3.877764837,0.229269508
0.5380 ,3.874989486,0.228177131
0.5390 ,3.872268999,0.227105989
0.5400 ,3.869603717,0.226054856
0.5410 ,3.866991312,0.225021876
0.5420 ,3.86442856,0.224004985
0.5430 ,3.861912236,0.223002115
0.5440 ,3.859439115,0.222011201
0.5450 ,3.857005972,0.221030178
0.5460 ,3.854609582,0.220056978
0.5470 ,3.852246719,0.219089537
0.5480 ,3.84991416,0.218125787
0.5490 ,3.847608677,0.217163664
0.5500 ,3.845327048,0.216201101
0.5510 ,3.843066046,0.215236032
0.5520 ,3.840822446,0.214266391
0.5530 ,3.838593024,0.213290113
0.5540 ,3.836374553,0.212305131
0.5550 ,3.83416381,0.211309378
0.5560 ,3.831957569,0.210300791
0.5570 ,3.829752605,0.209277301
0.5580 ,3.827545693,0.208236844
0.5590 ,3.825333608,0.207177353
0.5600 ,3.823113124,0.206096763
0.5610 ,3.820881018,0.204993006
0.5620 ,3.818634063,0.203864019
0.5630 ,3.816369034,0.202707733
0.5640 ,3.814082757,0.201522133
0.5650 ,3.811773998,0.200307069
0.5660 ,3.809444045,0.199064826
0.5670 ,3.807094357,0.197797849
0.5680 ,3.80472639,0.196508583
0.5690 ,3.802341602,0.195199473
0.5700 ,3.79994145,0.193872965
0.5710 ,3.797527392,0.192531504
0.5720 ,3.795100885,0.191177536
0.5730 ,3.792663386,0.189813505
0.5740 ,3.790216353,0.188441857
0.5750 ,3.787761243,0.187065038
0.5760 ,3.785299513,0.185685493
0.5770 ,3.782832621,0.184305667
0.5780 ,3.780362024,0.182928006
0.5790 ,3.77788918,0.181554954
0.5800 ,3.775415546,0.180188958
0.5810 ,3.772942578,0.178832462
0.5820 ,3.770471736,0.177487912
0.5830 ,3.768004475,0.176157754
0.5840 ,3.765542254,0.174844432
0.5850 ,3.76308653,0.173550392
0.5860 ,3.760638759,0.172278079
0.5870 ,3.758200401,0.17102994
0.5880 ,3.75577291,0.169808418
0.5890 ,3.753357747,0.168615959
0.5900 ,3.750956366,0.16745501
0.5910 ,3.748570204,0.166327894
0.5920 ,3.746200358,0.165235135
0.5930 ,3.743847665,0.16417587
0.5940 ,3.741512955,0.163149199
0.5950 ,3.73919706,0.162154223
0.5960 ,3.73690081,0.161190044
0.5970 ,3.734625036,0.160255762
0.5980 ,3.732370569,0.159350478
0.5990 ,3.730138239,0.158473293
0.6000 ,3.727928877,0.157623308
0.6010 ,3.725743314,0.156799624
0.6020 ,3.72358238,0.156001341
0.6030 ,3.721446907,0.15522756
0.6040 ,3.719337725,0.154477383
0.6050 ,3.717255664,0.153749909
0.6060 ,3.715201556,0.153044241
0.6070 ,3.713176231,0.152359479
0.6080 ,3.71118052,0.151694724
0.6090 ,3.709215253,0.151049076
0.6100 ,3.707281262,0.150421637
0.6110 ,3.705379377,0.149811507
0.6120 ,3.703510428,0.149217788
0.6130 ,3.701675247,0.148639579
0.6140 ,3.699874664,0.148075983
0.6150 ,3.69810951,0.1475261
0.6160 ,3.696380616,0.14698903
0.6170 ,3.694688812,0.146463876
0.6180 ,3.693034929,0.145949737
0.6190 ,3.691419798,0.145445714
0.6200 ,3.68984425,0.144950908
0.6210 ,3.688308524,0.144463758
0.6220 ,3.686811111,0.14398074
0.6230 ,3.685350176,0.143497965
0.6240 ,3.683923886,0.143011546
0.6250 ,3.682530407,0.142517594
0.6260 ,3.681167905,0.142012221
0.6270 ,3.679834544,0.14149154
0.6280 ,3.678528493,0.140951662
0.6290 ,3.677247915,0.1403887
0.6300 ,3.675990979,0.139798765
0.6310 ,3.674755848,0.13917797
0.6320 ,3.67354069,0.138522426
0.6330 ,3.67234367,0.137828246
0.6340 ,3.671162954,0.137091542
0.6350 ,3.669996708,0.136308425
0.6360 ,3.668843098,0.135475008
0.6370 ,3.667700291,0.134587402
0.6380 ,3.666566451,0.133641721
0.6390 ,3.665439745,0.132634075
0.6400 ,3.66431834,0.131560577
0.6410 ,3.6632004,0.130417338
0.6420 ,3.662084092,0.129200472
0.6430 ,3.660967581,0.127906089
0.6440 ,3.659849035,0.126530302
0.6450 ,3.658726618,0.125069223
0.6460 ,3.657598496,0.123518964
0.6470 ,3.656462837,0.121875636
0.6480 ,3.655317804,0.120135353
0.6490 ,3.654161566,0.118294225
0.6500 ,3.652992286,0.116348366
0.6510 ,3.651808133,0.114293887
0.6520 ,3.65060727,0.112126899
0.6530 ,3.649387901,0.109843748
0.6540 ,3.64814905,0.107446117
0.6550 ,3.646890567,0.104941031
0.6560 ,3.645612336,0.102335746
0.6570 ,3.644314243,0.099637519
0.6580 ,3.642996172,0.096853606
0.6590 ,3.641658009,0.093991264
0.6600 ,3.640299638,0.091057748
0.6610 ,3.638920944,0.088060316
0.6620 ,3.637521812,0.085006224
0.6630 ,3.636102128,0.081902728
0.6640 ,3.634661775,0.078757085
0.6650 ,3.633200639,0.075576551
0.6660 ,3.631718604,0.072368383
0.6670 ,3.630215557,0.069139837
0.6680 ,3.628691381,0.06589817
0.6690 ,3.627145962,0.062650638
0.6700 ,3.625579184,0.059404497
0.6710 ,3.623990932,0.056167004
0.6720 ,3.622381092,0.052945416
0.6730 ,3.620749548,0.049746989
0.6740 ,3.619096185,0.046578979
0.6750 ,3.617420888,0.043448642
0.6760 ,3.615723542,0.040363236
0.6770 ,3.614004032,0.037330017
0.6780 ,3.612262242,0.034356241
0.6790 ,3.610498059,0.031449164
0.6800 ,3.608711366,0.028616043
0.6810 ,3.606902048,0.025864135
0.6820 ,3.605069992,0.023200696
0.6830 ,3.60321508,0.020632982
0.6840 ,3.601337199,0.01816825
0.6850 ,3.599436233,0.015813757
0.6860 ,3.597512067,0.013576758
0.6870 ,3.595564586,0.01146451
0.6880 ,3.593593676,0.00948427
0.6890 ,3.591599222,0.007643278
0.6900 ,3.589581591,0.00594534
0.6910 ,3.587542213,0.004386603
0.6920 ,3.585482666,0.002962174
0.6930 ,3.583404524,0.001667163
0.6940 ,3.581309363,0.000496679
0.6950 ,3.57919876,0.00055417
0.6960 ,3.577074291,0.001490274
0.6970 ,3.57493753,0.002316524
0.6980 ,3.572790055,0.003037812
0.6990 ,3.570633441,0.003659029
0.7000 ,3.568469263,0.004185066
0.7010 ,3.566299098,0.004620813
0.7020 ,3.564124522,0.004971163
0.7030 ,3.56194711,0.005241005
0.7040 ,3.559768439,0.005435231
0.7050 ,3.557590084,0.005558733
0.7060 ,3.555413621,0.005616401
0.7070 ,3.553240626,0.005613126
0.7080 ,3.551072674,0.0055538
0.7090 ,3.548911343,0.005443313
0.7100 ,3.546758207,0.005286557
0.7110 ,3.544614843,0.005088422
0.7120 ,3.542482827,0.004853801
0.7130 ,3.540363733,0.004587583
0.7140 ,3.538259139,0.00429466
0.7150 ,3.53617062,0.003979923
0.7160 ,3.534099752,0.003648263
0.7170 ,3.53204811,0.003304571
0.7180 ,3.530017272,0.002953738
0.7190 ,3.528008812,0.002600656
0.7200 ,3.526024306,0.002250215
0.7210 ,3.524065331,0.001907307
0.7220 ,3.522133462,0.001576822
0.7230 ,3.520230275,0.001263652
0.7240 ,3.518357346,0.000972688
0.7250 ,3.516516251,0.000708821
0.7260 ,3.514708566,0.000476941
0.7270 ,3.512935866,0.00028194
0.7280 ,3.511199728,0.00012871
0.7290 ,3.509501728,2.21E-05
0.7300 ,3.507843282,3.40E-05
0.7310 ,3.506224178,4.82E-05
0.7320 ,3.504643239,3.59E-05
0.7330 ,3.503099275,1.27E-05
0.7340 ,3.501591097,6.06E-06
0.7350 ,3.500117516,1.31E-05
0.7360 ,3.498677344,1.17E-05
0.7370 ,3.49726939,5.99E-06
0.7380 ,3.495892466,0
0.7390 ,3.494545383,3.09E-06
0.7400 ,3.493226952,3.49E-06
0.7410 ,3.491935983,2.30E-06
0.7420 ,3.490671288,5.87E-07
0.7430 ,3.489431676,6.08E-07
0.7440 ,3.48821596,9.89E-07
0.7450 ,3.48702295,8.21E-07
0.7460 ,3.485851457,3.87E-07
0.7470 ,3.484700291,3.34E-08
0.7480 ,3.483568264,2.37E-07
0.7490 ,3.482454187,2.57E-07
0.7500 ,3.48135687,1.67E-07
0.7510 ,3.480275124,4.25E-08
0.7520 ,3.479207761,4.44E-08
0.7530 ,3.47815359,7.32E-08
0.7540 ,3.477111424,6.24E-08
0.7550 ,3.476080072,3.15E-08
0.7560 ,3.475058346,2.87E-21
0.7570 ,3.474045057,1.66E-08
0.7580 ,3.473039015,1.95E-08
0.7590 ,3.472039031,1.38E-08
0.7600 ,3.471043917,4.82E-09
0.7610 ,3.470052483,2.35E-09
0.7620 ,3.469063539,5.26E-09
0.7630 ,3.468075898,5.04E-09
0.7640 ,3.467088369,3.03E-09
0.7650 ,3.466099764,6.09E-10
