height,stack,score
300,1,1.4024870965529348
300,2,1.4025308649291208
300,4,1.260630033292951
300,6,1.234220985214313
300,8,1.234220985214313
300,10,1.234220985214313
600,1,7.5836257099451565
600,2,7.576774738334311
600,4,7.1575088463490415
600,6,6.619685951251062
600,8,6.568482375993783
600,10,6.243461747478578
900,1,3.168241107383381
900,2,3.1672703599173073
900,4,3.165062028660719
900,6,3.0445478524622382
900,8,2.972000144374179
900,10,2.8001433785623586
1200,1,1.1784010647577814
1200,2,1.1782720173702752
1200,4,1.1779163288623147
1200,6,1.1775238341711918
1200,8,1.177447389073974
1200,10,1.177447389073974
1500,1,1.9020642241794037
1500,2,1.9017221795620092
1500,4,1.9008804671805257
1500,6,1.9002188785015377
1500,8,1.8993233027768386
1500,10,1.8592825530522425
1800,1,12.981649931735719
1800,2,12.9651700707918
1800,4,12.932303111933827
1800,6,12.898833513988427
1800,8,12.865226081740566
1800,10,12.83205143792502
1800.0,3.0,12.948721156248714
1800.0,5.0,12.915060358730836
1800.0,7.0,12.881959069069632
1800.0,9.0,12.848597604279728
1750.0,1.0,1.7881829278236512
650.0,1.0,1.34224995134856
550.0,1.0,2.8096517287092406
950.0,1.0,6.423019799197268
350.0,1.0,1.4026389909847623
1000.0,1.0,1.2920196832099524
600.0,3.0,7.571586520989318
400.0,1.0,8.924046881429188
450.0,1.0,2.513918946769261
400.0,10.0,5.970974239805635
400.0,2.0,8.915773133661103
400.0,3.0,8.268509554343138
400.0,4.0,8.005973429174375
500.0,1.0,1.1593404256425752
400.0,5.0,7.781393337760365
700.0,1.0,1.4758261165997335
400.0,6.0,7.673583603342059
750.0,1.0,10.364022840551549
800.0,1.0,2.271880141608093
750.0,10.0,9.062062473406314
750.0,2.0,10.351801020437026
750.0,3.0,10.341857708980454
750.0,4.0,10.330754526421813
