wl,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26,n27,n28,n29,n30,n31,n32,n33,n34,n35,n36,n37,n38,n39,n40,n41,n42,n43,n44
0.3,1.344861111,0.983152778,1.526111111,1.887930556,1.525138889,2.334166667,3.726833333,1.994333333,2.37,0.24,2.0861,0.5321,2.68,0.7,2.8688,3.7066,3.0295,0.9609,2.656,0.8044,4.272395823,4.0404611,3.2434,3.522749994,1.6481,2.837,3.218799644,1.740469734,2.181167105,1.302997768,0.140617196,1.459585128,3.220650417,0.022128891,1.795898935,1.197951677,2.271764685,0.302895217,3.730688672,3.391288487,3.351001771,2.631620815,2.330703126,0.118332127
0.305,1.249432535,0.813916772,1.53,1.890725095,1.551563682,2.365876419,3.657136612,1.948562842,2.3655,0.2074,2.1229,0.5312,2.6667,0.7,2.9513,3.6177,3.111,0.9631,2.6363,0.8298,4.447601954,3.814197517,3.3645,3.505761731,1.6703,2.8505,3.174807246,1.731423187,2.209161563,1.101095837,0.654134525,1.199950754,3.219939567,0.021280872,1.901667502,1.040659514,2.280923664,0.281885378,3.849699639,3.348220269,3.45168159,2.584314878,2.293873108,0.098504878
0.31,1.143548387,0.638451613,1.53,1.892741935,1.576774194,2.396129032,3.599870968,1.919650538,2.3542,0.1754,2.163,0.5266,2.6538,0.7,3.01,3.51,3.1734,0.9648,2.6188,0.8542,4.571545517,3.60962634,3.4854,3.481603282,1.6923,2.8641,3.141,1.73,2.231725336,0.925086174,1.070346605,0.988320755,3.219698388,0.02136685,1.990741913,0.90449756,2.28683321,0.262010033,3.96522424,3.298459434,3.547963468,2.530912077,2.262905,0.083632
0.315,0.983121693,0.513185185,1.534589947,1.895294974,1.61212963,2.43212963,3.556333333,1.906619048,2.3392,0.1458,2.2067,0.5171,2.6415,0.7,3.0348,3.4364,3.2189,0.966,2.6033,0.8776,4.669154487,3.432701064,3.6041,3.45064337,1.714,2.8775,3.117857276,1.737590371,2.2491737,0.772933792,1.400102114,0.819983783,3.220221167,0.021372461,2.064492813,0.787876505,2.290156115,0.243468003,4.076989745,3.24217187,3.63954349,2.471740674,2.236506992,0.072172392
0.32,0.819166667,0.398416667,1.539713542,1.897856771,1.647994792,2.467994792,3.526489583,1.904442708,2.324,0.1208,2.2544,0.5006,2.6298,0.7,3.04,3.3741,3.2496,0.9667,2.5899,0.9002,4.745744537,3.278540867,3.7209,3.41324869,1.7356,2.891,3.102285725,1.750066115,2.261821936,0.642603707,1.654249726,0.690228489,3.206912353,0.021424612,2.124290843,0.689207044,2.291432952,0.226423413,4.184058698,3.179934624,3.725610207,2.407559026,2.213720271,0.063140712
0.325,0.533550296,0.580763314,1.51408284,1.89152071,1.667278107,2.49591716,3.504807692,1.907615385,2.3115,0.1023,2.3058,0.4736,2.6189,0.7,3.04,3.3197,3.2675,0.9669,2.5786,0.9219,4.815511878,3.14821,3.8353,3.368024369,1.757,2.9043,3.09536661,1.767818328,2.269985319,0.532060934,1.843638117,0.594343525,3.197810466,0.021175982,2.171506646,0.606899869,2.291130337,0.210799485,4.286395656,3.111925157,3.806128085,2.338702065,2.193822166,0.055884031
0.33,0.249067599,0.775011655,1.487412587,1.884853147,1.685058275,2.522587413,3.491479798,1.917055556,2.3031,0.0897,2.3583,0.4307,2.6089,0.7,3.04,3.2902,3.2748,0.9667,2.5691,0.9428,4.886425326,3.027527594,3.9456,3.317806577,1.7782,2.9177,3.095695241,1.789603057,2.27397913,0.439270489,1.979115961,0.527617541,3.194730863,0.021393913,2.207510866,0.539365672,2.289613274,0.196593017,4.383186844,3.038888658,3.880484374,2.266065836,2.176263332,0.049956069
0.335,0.16,0.933333333,1.48,1.879,1.713333333,2.546666667,3.485,1.931,2.296,0.0791,2.4023,0.3662,2.5999,0.7,3.04,3.2704,3.2735,0.966,2.5616,0.9629,4.955748498,2.92707752,4.0525,3.261044301,1.7991,2.931,3.102789018,1.815448812,2.274118645,0.362197386,2.071531935,0.485339189,3.191523104,0.022492067,2.233674146,0.485015145,2.287179718,0.183714527,4.474030771,2.961444767,3.948441127,2.190389808,2.160621398,0.045041984
0.34,0.146397059,1.075257353,1.48,1.873558824,1.745073529,2.569338235,3.488627451,1.948230392,2.2897,0.0701,2.42,0.283,2.592,0.7,3.0441,3.2535,3.2657,0.9649,2.556,0.9823,5.033395525,2.832186396,4.155,3.198527206,1.8199,2.9442,3.116011888,1.844381848,2.270719143,0.298806641,2.131734713,0.462797121,3.191825449,0.018658674,2.251367127,0.442258982,2.284057259,0.172033542,4.558776712,2.880099208,4.009995718,2.112269457,2.14656734,0.040918495
0.345,0.130917874,1.20489372,1.484541063,1.869864734,1.778164251,2.593623188,3.497173913,1.96826087,2.2836,0.0623,2.4052,0.205,2.5853,0.7,3.0507,3.2381,3.2536,0.9634,2.5523,1.0011,5.127401151,2.747640388,4.2521,3.131295167,1.8405,2.9574,3.135799672,1.876096547,2.264095902,0.247063268,2.170572972,0.455279987,3.191842494,0.012160637,2.261960453,0.409507875,2.280424852,0.161450647,4.637133776,2.795570195,4.065067775,2.032476419,2.133838295,0.037417578
0.35,0.113809524,1.323369048,1.493095238,1.86772619,1.812380952,2.619285714,3.512571429,1.991357143,2.2774,0.0552,2.3715,0.1495,2.58,0.7,3.0571,3.2218,3.2391,0.9614,2.5503,1.0192,5.240479584,2.6556552,4.3435,3.059137872,1.861,2.9705,3.163724558,1.913425497,2.2545642,0.204932284,2.198895385,0.45807644,3.19962583,0.015986613,2.266824767,0.385172516,2.276416466,0.151845123,4.70906264,2.708419268,4.113793694,1.951593805,2.122227648,0.034415691
0.355,0.098049837,1.434471289,1.498699892,1.867885157,1.841950163,2.643250271,3.535225352,2.017647887,2.2705,0.0485,2.3359,0.1138,2.5754,0.7,3.06,3.2081,3.2244,0.959,2.5501,1.0367,5.378068061,2.54502071,4.429,2.983768572,1.8812,2.9836,3.199205948,1.955163036,2.242439316,0.170378702,2.22755063,0.466475131,3.205956713,0.022147533,2.267330712,0.367663598,2.272138326,0.143122181,4.774471556,2.619336226,4.156288393,1.870297991,2.111566652,0.031820033
0.36,0.086858974,1.523252137,1.491239316,1.878702991,1.853141026,2.661901709,3.564013889,2.047013889,2.2623,0.0418,2.3039,0.0904,2.571,0.7,3.06,3.1975,3.2116,0.9563,2.5517,1.0538,5.535930865,2.391719345,4.5101,2.904425764,1.9013,2.9967,3.243901523,2.004721542,2.228036527,0.141367539,2.26738738,0.47576471,3.21268044,0.020408476,2.26484893,0.355391813,2.267668129,0.135180681,4.833452797,2.528869245,4.192815351,1.789090052,2.101717841,0.029556687
0.365,0.07597471,1.609600632,1.48398314,1.889224447,1.86402529,2.68004215,3.59969863,2.079082192,2.2519,0.0348,2.2763,0.0744,2.5667,0.7,3.06,3.1896,3.2028,0.9531,2.5549,1.0703,5.687332743,2.167703288,4.5841,2.822330351,1.9212,3.0097,3.303148242,2.064108634,2.211811822,0.116243897,2.32891882,0.478577102,3.207792527,0.027528456,2.260750064,0.346767855,2.263075343,0.127953868,4.885990973,2.437801536,4.223574387,1.708658578,2.092567336,0.027568792
0.37,0.066666667,1.6915,1.476666667,1.901333333,1.878333333,2.698333333,3.646,2.115,2.2388,0.028,2.2525,0.0629,2.5628,0.7,3.06,3.1835,3.2,0.9496,2.5597,1.0864,5.781634705,1.884236069,4.6513,2.737619886,1.9409,3.0227,3.394696118,2.140437232,2.194849674,0.095092157,2.415407169,0.45142314,3.205147697,0.028903375,2.256404758,0.340202415,2.258391258,0.121341319,4.932430954,2.346385513,4.248991338,1.629189225,2.084022611,0.02581032
0.375,0.059222222,1.76855,1.469222222,1.915477778,1.896944444,2.716944444,3.701533333,2.156666667,2.2256,0.0222,2.2318,0.0544,2.5592,0.7,3.06,3.1801,3.2019,0.9458,2.5661,1.1021,5.793355769,1.591707568,4.7136,2.652344273,1.9605,3.0356,3.550779464,2.205087357,2.177817618,0.077486867,2.495030403,0.363411374,3.205438214,0.035744484,2.253183177,0.334106186,2.25366205,0.115293009,4.972873628,2.25533919,4.26934733,1.551255416,2.076004311,0.02424775
0.38,0.051973684,1.843572368,1.461973684,1.92925,1.915065789,2.735065789,3.772684211,2.204789474,2.2148,0.0178,2.2137,0.0478,2.5561,0.7,3.0581,3.18,3.2063,0.9419,2.5779,1.1178,5.722478735,1.321994278,4.7695,2.565403182,1.9799,3.0485,3.729642031,2.196957882,2.160670974,0.062549751,2.508742495,0.23840083,3.209391579,0.035810816,2.252036099,0.327028834,2.248905773,0.109741581,5.007641167,2.164990044,4.285037574,1.475068834,2.068445329,0.02284906
0.385,0.05,1.912361638,1.462347652,1.937460539,1.938781219,2.761128871,3.87274026,2.260727273,2.2057,0.0137,2.1977,0.0426,2.5536,0.7,3.0529,3.18,3.2128,0.9376,2.6099,1.1333,5.608754321,1.105740444,4.8189,2.47773772,1.9992,3.0614,3.889662777,2.163423464,2.144462971,0.050488965,2.46714556,0.146461682,3.215844921,0.029070095,2.252725933,0.319229995,2.244142058,0.104633434,5.037026538,2.075726526,4.296434319,1.40088403,2.061289636,0.021591698
0.39,0.05,1.977767258,1.465522682,1.943493097,1.96418146,2.789704142,4.03224359,2.306730769,2.1969,0.0107,2.1835,0.0384,2.5516,0.7,3.0462,3.1828,3.221,0.9327,2.6474,1.1449,5.493612212,0.958613868,4.8633,2.390169735,2.0183,3.0742,4.085115478,2.104261361,2.128639176,0.040365567,2.414399725,0.090710884,3.224600618,0.021354077,2.254806053,0.312119054,2.239385867,0.099925005,5.061331229,1.987918965,4.303901123,1.328928269,2.054489927,0.020456459
0.395,0.05,2.04151704,1.468617332,1.949372931,1.988938656,2.817555988,4.237506329,2.264126582,2.1869,0.01,2.1707,0.035,2.5504,0.7,3.0357,3.1997,3.2302,0.9269,2.6878,1.1495,5.385816642,0.831013973,4.9017,2.303449259,2.0373,3.0869,4.303024171,1.958279234,2.113591484,0.032052019,2.362657668,0.053639339,3.235448393,0.029627652,2.257829838,0.307094887,2.234645896,0.0955747,5.080889044,1.901847442,4.307802484,1.259344314,2.048004877,0.019426776
0.4,0.05,2.106302083,1.468229167,1.9530625,2.014166667,2.847708333,4.3755,2.142,2.1747,0.01,2.159,0.0322,2.55,0.7,3.03,3.22,3.24,0.92,2.7183,1.1416,5.265350794,0.722387541,4.9349,2.217187437,2.0561,3.0996,4.415,1.735,2.099373367,0.025267856,2.311703353,0.024087963,3.242860305,0.038615489,2.261362218,0.304282403,2.229929986,0.091546212,5.096034716,1.817760766,4.30848908,1.19224567,2.041798,0.018489
