wl,n1,n2
0.4000 ,0.050697522,2.104097635
0.4010 ,0.050910697,2.117224456
0.4020 ,0.051090063,2.130378464
0.4030 ,0.051232883,2.143540001
0.4040 ,0.051336505,2.156689982
0.4050 ,0.051398365,2.169809878
0.4060 ,0.051415982,2.182881706
0.4070 ,0.051386958,2.195888011
0.4080 ,0.051308976,2.208811858
0.4090 ,0.051179793,2.221636818
0.4100 ,0.050997246,2.234346953
0.4110 ,0.050759243,2.246926805
0.4120 ,0.050463767,2.259361387
0.4130 ,0.050108868,2.271636168
0.4140 ,0.049693286,2.283738276
0.4150 ,0.04922166,2.295666675
0.4160 ,0.048701723,2.307426677
0.4170 ,0.048141034,2.31902354
0.4180 ,0.047546943,2.330462402
0.4190 ,0.0469266,2.341748284
0.4200 ,0.046286957,2.352886091
0.4210 ,0.045634775,2.363880616
0.4220 ,0.044976627,2.374736545
0.4230 ,0.044318902,2.385458454
0.4240 ,0.04366781,2.396050814
0.4250 ,0.043029388,2.406517994
0.4260 ,0.0424095,2.416864263
0.4270 ,0.041813845,2.427093791
0.4280 ,0.041247958,2.437210651
0.4290 ,0.040717215,2.447218825
0.4300 ,0.040226837,2.4571222
0.4310 ,0.039781775,2.466924772
0.4320 ,0.03938418,2.476634883
0.4330 ,0.039033521,2.486265032
0.4340 ,0.03872916,2.495827571
0.4350 ,0.038470471,2.505334526
0.4360 ,0.038256834,2.514797601
0.4370 ,0.038087639,2.524228189
0.4380 ,0.037962284,2.533637375
0.4390 ,0.037880175,2.543035947
0.4400 ,0.037840726,2.5524344
0.4410 ,0.037843359,2.561842944
0.4420 ,0.037887504,2.571271507
0.4430 ,0.037972598,2.580729748
0.4440 ,0.038098087,2.590227058
0.4450 ,0.038263423,2.599772566
0.4460 ,0.038468067,2.609375148
0.4470 ,0.038711486,2.61904343
0.4480 ,0.038993154,2.628785796
0.4490 ,0.039312553,2.638610391
0.4500 ,0.039669171,2.648525127
0.4510 ,0.040062501,2.658537679
0.4520 ,0.040490983,2.668650358
0.4530 ,0.040950407,2.678852381
0.4540 ,0.041436246,2.689131198
0.4550 ,0.041944091,2.699474569
0.4560 ,0.042469642,2.709870562
0.4570 ,0.043008707,2.720307544
0.4580 ,0.043557203,2.730774173
0.4590 ,0.044111147,2.741259394
0.4600 ,0.044666662,2.751752433
0.4610 ,0.045219968,2.762242788
0.4620 ,0.045767384,2.772720228
0.4630 ,0.046305324,2.783174783
0.4640 ,0.046830296,2.79359674
0.4650 ,0.047338898,2.803976637
0.4660 ,0.047827818,2.814305259
0.4670 ,0.048293832,2.824573631
0.4680 ,0.048733801,2.834773015
0.4690 ,0.049144671,2.844894901
0.4700 ,0.049523467,2.854931007
0.4710 ,0.049867299,2.864873271
0.4720 ,0.050173502,2.874714313
0.4730 ,0.050441925,2.884454399
0.4740 ,0.050674379,2.894099774
0.4750 ,0.05087269,2.903656712
0.4760 ,0.051038644,2.913131338
0.4770 ,0.051173988,2.922529639
0.4780 ,0.05128043,2.931857461
0.4790 ,0.051359641,2.941120512
0.4800 ,0.051413253,2.950324371
0.4810 ,0.051442862,2.959474481
0.4820 ,0.05145003,2.968576161
0.4830 ,0.051436283,2.977634602
0.4840 ,0.051403111,2.986654873
0.4850 ,0.051351973,2.995641923
0.4860 ,0.051284294,3.004600582
0.4870 ,0.051201465,3.013535565
0.4880 ,0.051104848,3.022451474
0.4890 ,0.050995773,3.031352798
0.4900 ,0.050875538,3.04024392
0.4910 ,0.050745415,3.049129116
0.4920 ,0.050606642,3.058012555
0.4930 ,0.050460433,3.066898307
0.4940 ,0.050307969,3.075790341
0.4950 ,0.050150409,3.084692527
0.4960 ,0.04998888,3.093608639
0.4970 ,0.049824712,3.102541849
0.4980 ,0.049659942,3.111493597
0.4990 ,0.049496704,3.120464951
0.5000 ,0.049337084,3.12945695
0.5010 ,0.049183117,3.138470603
0.5020 ,0.049036787,3.147506889
0.5030 ,0.048900034,3.15656676
0.5040 ,0.048774747,3.165651142
0.5050 ,0.048662771,3.17476093
0.5060 ,0.048565905,3.183896998
0.5070 ,0.048485905,3.193060189
0.5080 ,0.048424481,3.202251325
0.5090 ,0.048383303,3.2114712
0.5100 ,0.048363997,3.220720585
0.5110 ,0.04836815,3.230000229
0.5120 ,0.048397307,3.239310856
0.5130 ,0.048452977,3.248653166
0.5140 ,0.048536626,3.258027841
0.5150 ,0.048649686,3.267435536
0.5160 ,0.04879355,3.27687689
0.5170 ,0.048969575,3.286352516
0.5180 ,0.049179083,3.295863012
0.5190 ,0.049423362,3.305408952
0.5200 ,0.049703664,3.314990891
0.5210 ,0.050021207,3.324609367
0.5220 ,0.050376037,3.334263576
0.5230 ,0.050764428,3.343948374
0.5240 ,0.051181962,3.353657838
0.5250 ,0.051624319,3.363386171
0.5260 ,0.052087272,3.373127705
0.5270 ,0.052566688,3.382876895
0.5280 ,0.053058522,3.392628321
0.5290 ,0.053558822,3.402376682
0.5300 ,0.054063722,3.412116793
0.5310 ,0.054569442,3.421843589
0.5320 ,0.055072286,3.431552114
0.5330 ,0.055568644,3.441237527
0.5340 ,0.056054982,3.450895094
0.5350 ,0.05652785,3.46052019
0.5360 ,0.056983875,3.470108294
0.5370 ,0.05741976,3.479654989
0.5380 ,0.057832285,3.489155961
0.5390 ,0.058218303,3.498606993
0.5400 ,0.058574739,3.508003966
0.5410 ,0.058898591,3.517342859
0.5420 ,0.059186926,3.526619742
0.5430 ,0.059436878,3.535830781
0.5440 ,0.059645652,3.544972229
0.5450 ,0.059810516,3.55404043
0.5460 ,0.059928804,3.563031815
0.5470 ,0.059997913,3.571942901
0.5480 ,0.060015303,3.580770287
0.5490 ,0.059978568,3.589510751
0.5500 ,0.059888119,3.598164782
0.5510 ,0.059747899,3.60673752
0.5520 ,0.059562007,3.615234307
0.5530 ,0.059334457,3.62366038
0.5540 ,0.059069183,3.63202087
0.5550 ,0.058770038,3.640320804
0.5560 ,0.058440796,3.648565106
0.5570 ,0.058085156,3.656758601
0.5580 ,0.057706738,3.664906017
0.5590 ,0.05730909,3.673011982
0.5600 ,0.056895686,3.681081034
0.5610 ,0.056469927,3.689117613
0.5620 ,0.056035146,3.69712607
0.5630 ,0.055594604,3.705110665
0.5640 ,0.055151494,3.713075571
0.5650 ,0.054708943,3.721024872
0.5660 ,0.054270013,3.72896257
0.5670 ,0.053837699,3.736892579
0.5680 ,0.053414934,3.744818733
0.5690 ,0.053004588,3.752744787
0.5700 ,0.052609471,3.760674412
0.5710 ,0.05223233,3.768611205
0.5720 ,0.051875855,3.776558683
0.5730 ,0.051542678,3.784520291
0.5740 ,0.051235373,3.792499397
0.5750 ,0.050956458,3.800499299
0.5760 ,0.050708395,3.80852322
0.5770 ,0.050493595,3.816574317
0.5780 ,0.050314412,3.824655675
0.5790 ,0.050173149,3.832770311
0.5800 ,0.050072059,3.840921179
0.5810 ,0.050013343,3.849111163
0.5820 ,0.049999154,3.857343086
0.5830 ,0.050030919,3.86561892
0.5840 ,0.050106627,3.873936608
0.5850 ,0.050223224,3.882292875
0.5860 ,0.050377716,3.890684508
0.5870 ,0.050567165,3.899108353
0.5880 ,0.05078869,3.907561317
0.5890 ,0.051039463,3.916040364
0.5900 ,0.05131671,3.924542517
0.5910 ,0.051617714,3.933064854
0.5920 ,0.051939806,3.941604512
